RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-04-30,2023-06-30,2024-03-31
68736,32220,25721,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68737,32220,25722,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68738,32220,25723,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68739,32220,25724,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68740,32220,25725,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68741,32220,25726,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68742,32220,25727,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68743,32220,25728,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68744,32220,25729,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68746,32220,25770,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68747,32220,25771,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68748,32220,25772,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68749,32220,25773,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68750,32220,25774,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68751,32220,25775,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68752,32220,25776,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68753,32220,25777,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68754,32220,25778,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68755,32220,25779,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,2023-03-31,0.2,1.8,-1.7
68757,32220,25802,zip,WV,WV,Beckley,"Beckley, WV",Raleigh County,2023-03-31,0.2,1.0,-2.5
68764,32220,25818,zip,WV,WV,Bradley,"Beckley, WV",Raleigh County,2023-03-31,0.2,1.0,-2.5
68772,32220,25833,zip,WV,WV,Scarbro,"Beckley, WV",Fayette County,2023-03-31,0.2,1.0,-2.5
68788,32220,25855,zip,WV,WV,Scarbro,"Beckley, WV",Fayette County,2023-03-31,0.2,1.0,-2.5
68792,32220,25860,zip,WV,WV,Stanaford,"Beckley, WV",Raleigh County,2023-03-31,0.2,1.0,-2.5
68796,32220,25866,zip,WV,WV,Oak Hill,"Beckley, WV",Fayette County,2023-03-31,0.2,1.0,-2.5
68800,32220,25873,zip,WV,WV,Mac Arthur,"Beckley, WV",Raleigh County,2023-03-31,0.2,1.0,-2.5
68809,32220,25904,zip,WV,WV,Pax,"Beckley, WV",Fayette County,2023-03-31,0.2,1.0,-2.5
68810,32220,25906,zip,WV,WV,Piney View,"Beckley, WV",Raleigh County,2023-03-31,0.2,1.0,-2.5
68811,32220,25907,zip,WV,WV,Terry,"Beckley, WV",Fayette County,2023-03-31,0.2,1.0,-2.5
68813,32220,25909,zip,WV,WV,Prosperity,"Beckley, WV",Raleigh County,2023-03-31,0.2,1.0,-2.5
68821,32220,25919,zip,WV,WV,Beckley,"Beckley, WV",Raleigh County,2023-03-31,0.2,1.0,-2.5
68826,32220,25927,zip,WV,WV,Stanaford,"Beckley, WV",Raleigh County,2023-03-31,0.2,1.0,-2.5
68852,32220,25986,zip,WV,WV,Meadow Bridge,"Beckley, WV",Fayette County,2023-03-31,0.2,1.0,-2.5
